incident_id,date_reported,customer_name,environment,service_module,incident_summary,incident_category,impact_scope,severity_level,detected_by,root_cause,resolution_steps,time_to_detect_ttd,time_to_resolve_ttr,preventive_actions,automation_suggestion,incident_tags,logs_or_errors,owner_resolver,linked_incidents,postmortem_link,gpt_insight_label
,,DBS,Production,MSMQ,queues are not moving  for feedback endpoint,Service,queue processing will be slow due to high trafic,P2,PS Team and Client,third party api is not responding,disable this feature from the application and made console application push th data,30m,72hrs,need to check the quota frequently and clear the dead letter queues,,,,,,,
,,Au bank,Production,webapi,Exceptions in webapi,Application,Less,P3,Client,"we identified one particular API (api/mvp/account/offline/myaccounts) that is being called repeatedly from the mobile app and returning a 400 status code, which mobile team have to analyse and minimize calling this API only when appropriate.",Need to disable/verify that api from th code,15m,25m,,,,,,,,
,,Au bank,Production,webapi,Memory is peaking,Service,ALL Users,P1,Client,some query is running from the AU bank which is not part of encollect,have notified the client to stop the query,45m,4 Hr,,,,,,,,
,,Au bank,UAT,Endpoint,Endpoint is restated aftger throughing the error,Service,some users only,P3,Client,Configuration issue in rabbitmq and  configuration file,in rabbitmq added virtual host and changed the config details in  all endpoint,3hr,24hr,,,,,,,,
,,MT,Production,Harddisk,C drive is full,Hardware,file are not getting saved in that drive,P1,Infra Team,windows patches and database files size is high which has resulted in c drive full,Increased the size of c drive,15m,25m,increased the threshold levels to 85 %,No,DISK,Disk full,infra,,,
,,Ummeed,Production,Code,wallet limit is increasing for some users,Application,some users only,P1,Client,,,,,,,,,,,,
INC-2025-0131,01-02-2025 01:36,Equitas,Production,Application,"The Equitas Bank team reported that duplicate transactions were 
posted to CBS on 31st- January 2025 leading to potential financial 
discrepancies. Incident occurence history. User's reported issues on below timings.
 
1.	December 2, 2024 3:26 PM IST
 
2.	December 23, 2024 2:46 PM IST
 
3.	December 30, 2024 10:23 AM IST
 
4.	January 2, 2025 10:00 AM IST.",Application," leading to potential financial 
discrepancies in CBS System",P1,Client,"1. Analysis of the Production Log Files: 
Objective: Analyze the log files related to the reported issue. 
Findings:  
 The investigation revealed that transactions were 
successfully sent to the Equitas CBS system. 
 However, data was not stored correctly in the 
ENCollect CBS table post 10:15 PM when the 
maximum concurrency setting was increased to handle 
high load data more efficiently. 
2. Analysis of the Reconciliation Query: 
Objective: Analyze the reconcile query. 
Findings:  
 The investigation revealed that the reconciliation query 
produced false data due to partial data storage in the 
ENCollect CBS table after 10:15 PM. 
 This partial data storage was unknown to the Equitas 
Bank Production Support team, leading them to 
reinitiate the transactions to push them to the Equitas 
Bank CBS system again, causing duplicates. 
3. Analysis of the Code for Partial Data Storage: 
Objective: Investigate whether increased concurrency 
settings impacted data storage. 
. 
Findings:  
 At high concurrency, database transactions were not 
completing within the expected timeframe, leading to 
partial commits. 
 This resulted in a mismatch when the reconciliation 
query was executed. 
 Code improvements have been identified to ensure all 
transactions commit fully before being considered for 
reconciliation.",".Removal of Duplicate Transactions in Equitas CBS 
 Action: Equitas team removed the duplicate transactions from 
Equitas CBS. 
 Responsibility: Equitas Bank 
 Status: Completed 
 Verification Status: Verified by Equitas Bank",45min,6days,"1. Fixing the Data Reconciliation Query 
 Action: The ENTiger team has corrected the data 
reconciliation query to ensure accurate data processing, even 
when the maximum concurrency value is increased. 
 Responsibility: Equitas Bank and ENTiger 
 Status: Completed 
 Verification Status: Verified by Equitas Bank 
2. Code Optimization for High Concurrency 
 Action: The ENTiger team is optimizing the code to support 
an increased max concurrency value to avoid partial data 
storage in the ENCollect CBS table. 
 Responsibility: Equitas Bank and ENTiger 
 Status: Work In Progress (WIP) 
 Verification Status: To be verified upon completion",No,"CBS,duplicate transtions",,Encollect Dev team ,,,
INC-2025-0207,07-02-2025 11:36,HHFL,Production,Application,Disparity in account details,Application,Disparity in account details,P1,Client,In Region State City master apis  the input parameter was not as expected by backend.,We need to update the master apis  for geography and provide the corrected input parameters to get the desired result.,24Hrs,3days,Thorough testing of the modules being released in UAT prior production deployment.,No,Testing,,FE Team,,,
INC-2025-0205,05-02-2025 11:36,DBS,Production,Application,"primary and 
secondary allocations were not functioning as expected. ",Application,"The primary and secondary allocations were processing 
slowly due to a heavy accumulation of data in the allocation's 
intermediate tables. This slowness led end users to believe that the 
allocations were not functioning.",P1,Client,"To determine the root cause, two key areas were investigated: 
1. Existence of the Issue in UAT: 
Objective: Verify if the issue is present in the UAT 
environment. 
Findings: The issue was confirmed to be absent in the UAT 
environment, indicating that the problem was isolated to the 
production environment. 
2. Analysis of the Issue in Production: 
Objective: Identify the cause of the failure in the production 
environment. 
Findings:  
1. A significant accumulation of data was observed in the 
allocations intermediate tables. 
2. Duplicate records were causing errors in the SSIS 
package, preventing it from reaching the truncate 
command for clearing the intermediate tables. 
3. Since resolving this issue required extensive changes 
across SSIS packages and considering that the 
upcoming DBS ENCollect upgrade (to be delivered to 
DBS) already addresses this issue, a temporary 
housekeeping cleanup job was implemented. ","Truncated Allocations Intermediate Tables: 
 Action: he DBS Bank production support team 
truncated the data in all allocations intermediate 
tables. 
 Responsibility: DBS Bank and ENTiger 
 Status: Completed in PROD 
 Verification Status: Completed. ",24Hrs,3days," Housekeeping Data Cleanup Job: 
 Action: The ENTiger team created a data cleanup job in 
the DBS UAT environment on 8th January 2025, but it 
was not moved to production. 
 Responsibility: DBS Bank and ENTiger 
 Status: Completed in UAT. 
 Verification Status: Yet to be validated by the DBS 
team in UAT.",No,"Housekeeping, truncate",,Backend Team,,,
INC-2024-1202,02-12-2024 18:48,DBS,Production,Application,Pan India bank staff users are not able to login in En-Collect ,Application,All Users,P1,Client,IIS application pool auto reset which will refresh automatically for every 12 hours of interval is having issue with LDAP connectivity during its last refresh. Auth log Size is full ,"The issue is resolved with the restart of IIS services, now all users can login into the application.
Permanent Fix: We need to schedule IIS restarts every week to avoid this issue.Auth Flex log generation on a daily basis",24 hrs,3 Months,We need to schedule IIS restarts every week to avoid this issue,No,"Login, IIS,AUTH",,Backend Team,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
INC-2025-1519,10-01-2025 17:07,Au bank,Production,orders-service,Upstream dependency degraded causing increased failures and retries. Observed after v3.2.1 in EU.,Third-party,Partial failures; slow transactions; increased error rates. Metric: p95 latency 1200ms.,P1,Grafana Alert,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,58m,3 Hr,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,DependencyWatch agent to detect upstream degradation and auto-adjust retries.,"third-party-api-degradation,third-party,orders-service,eu,v3.2.1,incident",Upstream timeout calling vendor API after 10s,DBA Team,"nan, INC-2025-1010",https://companywiki/postmortems/inc-2025-1519,Pattern: Third-party API Degradation
INC-2026-0319,18-04-2026 21:56,Au bank,DR,identity-service,Login failures after configuration change; token validation mismatch. Observed after v3.3.0 in APAC.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: 5xx spike 22%.,P1,SRE Team,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,49m,25m,Config change review; canary validation; contract tests for auth flows.,AuthConfigLint agent to validate OAuth/JWT config and run canary login tests.,"auth-token-/-config-regression,deployment,identity-service,apac,v3.3.0,incident",JWT signature verification failed,SRE Team B,,https://companywiki/postmortems/inc-2026-0319,Pattern: Auth Token / Config Regression
INC-2025-0143,01-10-2025 15:05,Au bank,Production,api-gateway,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v3.3.0 in IN.,Network issue,Users unable to access the application; 502/504 at edge. Metric: memory 95%.,P2,On-call Engineer,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,1h 30m,3 Hr,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,api-gateway,in,v3.3.0,incident",ELB 504 Gateway Timeout spike,SRE Team B,,https://companywiki/postmortems/inc-2025-0143,Pattern: DNS / LB Misroute
INC-2026-1896,15-04-2026 20:05,HHFL,Production,mobile-backend,Login failures after configuration change; token validation mismatch. Observed after v3.3.0 in EU.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: memory 95%.,P1,Prometheus Alert,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,1 Hr,1 Hr,Config change review; canary validation; contract tests for auth flows.,AuthConfigLint agent to validate OAuth/JWT config and run canary login tests.,"auth-token-/-config-regression,deployment,mobile-backend,eu,v3.3.0,incident",JWT signature verification failed,DevOps Team B,"INC-2025-0143, INC-2025-1010",https://companywiki/postmortems/inc-2026-1896,Pattern: Auth Token / Config Regression
INC-2026-0450,21-05-2026 14:03,ABC Financials,Production,identity-service,Login failures after configuration change; token validation mismatch. Observed after v3.3.2 in US.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: 5xx spike 22%.,P0,Grafana Alert,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,1h 11m,7m,Config change review; canary validation; contract tests for auth flows.,AuthConfigLint agent to validate OAuth/JWT config and run canary login tests.,"auth-token-/-config-regression,deployment,identity-service,us,v3.3.2,incident",invalid_audience: token aud mismatch,DevOps Team A,,https://companywiki/postmortems/inc-2026-0450,Pattern: Auth Token / Config Regression
INC-2026-0602,13-02-2026 07:44,Orion Logistics,Production,mobile-backend,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v4.0.0 in US.,Network issue,Users unable to access the application; 502/504 at edge. Metric: p95 latency 1200ms.,P0,Synthetic Monitor,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,21m,2h 23m,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,mobile-backend,us,v4.0.0,incident",ELB 504 Gateway Timeout spike,Security Team,,https://companywiki/postmortems/inc-2026-0602,
INC-2025-1903,13-02-2025 10:40,Equitas,UAT,Webapi,Login failures after configuration change; token validation mismatch. Observed after v4.0.0 in US.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: p95 latency 1200ms.,P2,On-call Engineer,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,17m,37m,Config change review; canary validation; contract tests for auth flows.,AuthConfigLint agent to validate OAuth/JWT config and run canary login tests.,"auth-token-/-config-regression,deployment,webapi,us,v4.0.0,incident",invalid_audience: token aud mismatch,SRE Team A,,https://companywiki/postmortems/inc-2025-1903,Pattern: Auth Token / Config Regression
INC-2026-1903,24-03-2026 06:06,NovaTel,Staging,orders-service,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v3.3.2 in MEA.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: p95 latency 1200ms.,P1,PS Team,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,10m,3h 6m,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,,"k8s-resource-saturation,infrastructure,orders-service,mea,v3.3.2,incident",OOMKilled: Container killed due to out of memory,Network Team,"INC-2025-0205, INC-2026-0450",,
INC-2025-1371,19-04-2025 03:35,ZenHealth,Production,payment-gateway-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.3.2 in IN.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: error rate 18%.,P1,AppDynamics Alert,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",1h 27m,3 Hr,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,payment-gateway-service,in,v3.3.2,incident",SSLHandshakeException: Received fatal alert: certificate_unknown,DevOps Team B,"INC-2026-0602, INC-2025-0205",https://companywiki/postmortems/inc-2025-1371,Pattern: SSL Cert Expiry
INC-2025-1099,15-03-2025 20:52,Ummeed,Production,db-cluster-3,Increased latency and intermittent 500 errors due to exhausted DB connection pool. Observed after v4.0.0 in IN.,Database,Requests time out; partial outages for read/write paths. Metric: p95 latency 1200ms.,P1,On-call Engineer,Traffic spike + leak in connection handling after latest release; pool size too small.,Hotfix to close connections; increased pool; scaled DB; restarted affected pods.,31m,47m,Load test; connection leak detection; set SLO alerts on pool utilization.,DBPoolGuard agent to detect leaks via metrics and suggest safe pool tuning.,"db-connection-pool-exhaustion,database,db-cluster-3,in,v4.0.0,incident","HikariPool-1 - Connection is not available, request timed out after 30000ms",SRE Team B,,,
INC-2025-0005,28-05-2025 04:17,Ummeed,Production,payment-gateway-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.3.2 in MEA.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: error rate 18%.,P2,Synthetic Monitor,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",41m,19m,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,,"ssl-cert-expiry,deployment,payment-gateway-service,mea,v3.3.2,incident",SSLHandshakeException: Received fatal alert: certificate_unknown,DBA Team,,https://companywiki/postmortems/inc-2025-0005,Pattern: SSL Cert Expiry
INC-2025-1968,23-01-2025 02:09,Au bank,UAT,notifications-service,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v4.0.0 in EU.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: error rate 18%.,P0,On-call Engineer,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,1 Hr,1 Hr,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,K8sAutoTuner agent to recommend limits/requests from historical metrics.,"k8s-resource-saturation,infrastructure,notifications-service,eu,v4.0.0,incident",CPU throttling high; request latency p95 elevated,DBA Team,,https://companywiki/postmortems/inc-2025-1968,Pattern: K8s Resource Saturation
INC-2026-0648,27-06-2026 13:38,ZenHealth,Production,payment-gateway-service,Upstream dependency degraded causing increased failures and retries. Observed after v3.2.4 in MEA.,Third-party,Partial failures; slow transactions; increased error rates. Metric: 5xx spike 22%.,P2,Grafana Alert,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,1h 10m,2h 41m,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,DependencyWatch agent to detect upstream degradation and auto-adjust retries.,"third-party-api-degradation,third-party,payment-gateway-service,mea,v3.2.4,incident",CircuitBreakerOpenException: calls not permitted,SRE Team B,"INC-2026-0319, INC-2026-0648",https://companywiki/postmortems/inc-2026-0648,
INC-2026-1359,28-12-2026 20:35,Au bank,DR,notifications-service,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v3.3.0 in US.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: CPU 92%.,P1,Grafana Alert,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,33m,3h 56m,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,,"k8s-resource-saturation,infrastructure,notifications-service,us,v3.3.0,incident",CPU throttling high; request latency p95 elevated,Security Team,"INC-2025-1968, INC-2025-1519",https://companywiki/postmortems/inc-2026-1359,Pattern: K8s Resource Saturation
INC-2025-1580,10-05-2025 12:58,Orion Logistics,Production,api-gateway,Service outage due to SSL certificate expiration during rolling deployment. Observed after v4.0.0 in IN.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: p95 latency 1200ms.,P1,AppDynamics Alert,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",19m,2 Hr,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,api-gateway,in,v4.0.0,incident",SSLHandshakeException: Received fatal alert: certificate_unknown,Security Team,"INC-2026-1896, INC-2025-1099",https://companywiki/postmortems/inc-2025-1580,Pattern: SSL Cert Expiry
INC-2026-1397,23-03-2026 14:03,Delta Retail,Production,api-gateway,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.2.4 in US.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: error rate 18%.,P1,SRE Team,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",32m,1 Hr,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,api-gateway,us,v3.2.4,incident",x509: certificate has expired or is not yet valid,,"INC-2026-1896, INC-2026-1903",https://companywiki/postmortems/inc-2026-1397,Pattern: SSL Cert Expiry
INC-2025-1673,19-03-2025 12:09,Sapphire Bank,Production,Webapi,Login failures after configuration change; token validation mismatch. Observed after v3.2.4 in EU.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: memory 95%.,P2,On-call Engineer,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,1 Hr,4 Hr,Config change review; canary validation; contract tests for auth flows.,AuthConfigLint agent to validate OAuth/JWT config and run canary login tests.,"auth-token-/-config-regression,deployment,webapi,eu,v3.2.4,incident",JWT signature verification failed,DevOps Team B,,https://companywiki/postmortems/inc-2025-1673,Pattern: Auth Token / Config Regression
INC-2026-0223,15-01-2026 20:34,MT,Production,db-cluster-3,Increased latency and intermittent 500 errors due to exhausted DB connection pool. Observed after v3.2.4 in MEA.,Database,Requests time out; partial outages for read/write paths. Metric: CPU 92%.,P2,Grafana Alert,Traffic spike + leak in connection handling after latest release; pool size too small.,Hotfix to close connections; increased pool; scaled DB; restarted affected pods.,1 Hr,2 Hr,Load test; connection leak detection; set SLO alerts on pool utilization.,DBPoolGuard agent to detect leaks via metrics and suggest safe pool tuning.,"db-connection-pool-exhaustion,database,db-cluster-3,mea,v3.2.4,incident","HikariPool-1 - Connection is not available, request timed out after 30000ms",DBA Team,,https://companywiki/postmortems/inc-2026-0223,Pattern: DB Connection Pool Exhaustion
INC-2026-0634,16-07-2026 22:43,Equitas,Production,identity-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.3.2 in IN.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: error rate 18%.,P1,Client,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",27m,1h 55m,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,identity-service,in,v3.3.2,incident",javax.net.ssl.SSLHandshakeException at line 154,DevOps Team B,,https://companywiki/postmortems/inc-2026-0634,Pattern: SSL Cert Expiry
INC-2025-0970,18-07-2025 12:29,Delta Retail,Production,api-gateway,Upstream dependency degraded causing increased failures and retries. Observed after v3.3.0 in US.,Third-party,Partial failures; slow transactions; increased error rates. Metric: error rate 18%.,P0,PS Team,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,59m,1h 51m,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,DependencyWatch agent to detect upstream degradation and auto-adjust retries.,"third-party-api-degradation,third-party,api-gateway,us,v3.3.0,incident",Upstream timeout calling vendor API after 10s,SRE Team B,"INC-2025-0207, INC-2025-1519",https://companywiki/postmortems/inc-2025-0970,Pattern: Third-party API Degradation
INC-2025-1344,27-02-2025 07:27,Kappa Insurance,Production,mobile-backend,Login failures after configuration change; token validation mismatch. Observed after v3.2.4 in US.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: 5xx spike 22%.,P2,Grafana Alert,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,1h 8m,3 Hr,Config change review; canary validation; contract tests for auth flows.,AuthConfigLint agent to validate OAuth/JWT config and run canary login tests.,"auth-token-/-config-regression,deployment,mobile-backend,us,v3.2.4,incident",JWT signature verification failed,DBA Team,"INC-2025-1519, INC-2025-0045",,Pattern: Auth Token / Config Regression
INC-2026-1858,19-11-2026 13:27,Ummeed,UAT,redis-cache,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v3.3.0 in US.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: 5xx spike 22%.,P2,AppDynamics Alert,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,35m,2 Hr,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,K8sAutoTuner agent to recommend limits/requests from historical metrics.,"k8s-resource-saturation,infrastructure,redis-cache,us,v3.3.0,incident",Evicted: The node was low on resource: memory,Platform Team,,,Pattern: K8s Resource Saturation
INC-2025-0439,02-10-2025 08:18,Ummeed,Production,payment-gateway-service,Upstream dependency degraded causing increased failures and retries. Observed after v3.3.2 in US.,Third-party,Partial failures; slow transactions; increased error rates. Metric: memory 95%.,P1,SRE Team,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,1 Hr,2 Hr,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,DependencyWatch agent to detect upstream degradation and auto-adjust retries.,"third-party-api-degradation,third-party,payment-gateway-service,us,v3.3.2,incident",HTTP 429/503 from upstream; retry storm detected,SRE Team A,,https://companywiki/postmortems/inc-2025-0439,Pattern: Third-party API Degradation
INC-2025-0450,09-07-2025 14:37,HHFL,Production,reporting-service,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v3.2.4 in IN.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: 5xx spike 22%.,P0,SRE Team,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,24m,17m,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,K8sAutoTuner agent to recommend limits/requests from historical metrics.,"k8s-resource-saturation,infrastructure,reporting-service,in,v3.2.4,incident",CPU throttling high; request latency p95 elevated,DevOps Team A,"INC-2025-0450, INC-2025-0207",https://companywiki/postmortems/inc-2025-0450,Pattern: K8s Resource Saturation
INC-2026-1541,19-04-2026 01:32,ABC Financials,Production,mobile-backend,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v3.2.1 in US.,Network issue,Users unable to access the application; 502/504 at edge. Metric: p95 latency 1200ms.,P0,Prometheus Alert,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,17m,2h 6m,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,mobile-backend,us,v3.2.1,incident",NXDOMAIN for api.company.com,PS Team,,,
